token,is_oov,tag
tidak,False,NEG
bisa,False,MD
dibunuh,False,VB
karena,False,SC
masyarakat,False,NN
India,False,NNP
menganggap,False,VB
mereka,False,PRP
suci,False,JJ
.,False,Z
,True,
Selain,False,CC
harus,False,MD
mengusir,False,VB
kawanan,False,NN
monyet,False,NN
",",False,Z
pemkot,False,NNP
Delhi,False,NNP
juga,False,RB
kesulitan,False,VB
mengatasi,False,VB
wabah,False,NN
demam berdarah,True,NN
.,False,Z
,True,
Curah,False,NN
hujan,False,NN
yang,False,SC
tinggi,False,JJ
menyebabkan,False,VB
banyak,False,CD
genangan,False,NN
",",False,Z
tempat,False,NN
ideal,False,JJ
bagi,False,IN
nyamuk,False,NN
aedes,False,NNP
berkembang biak,True,VB
.,False,Z
,True,
Pemkot,False,NN
telah,False,MD
menempatkan,False,VB
ikan,False,NN
di,False,IN
berbagai,False,CD
genangan,False,NN
air,False,NN
untuk,False,SC
memangsa,False,VB
telur,False,NN
nyamuk,False,NN
.,False,Z
,True,
Miliarder,False,NN
AS,False,NNP
jamu,False,VB
orang kaya,True,NN
Cina,False,NNP
,True,
Dua,False,CD
miliarder,False,NN
Amerika,False,NNP
Bill,False,NNP
Gates,False,NNP
dan,False,CC
Warren,False,NNP
Buffett,False,NNP
akan,False,MD
mengadakan,False,VB
jamuan,False,NN
makan malam,True,NN
di,False,IN
Beijing,False,NNP
bagi,False,IN
sejumlah,False,CD
orang,False,NN
terkaya,False,JJ
di,False,IN
Cina,False,NNP
.,False,Z
,True,
Gates,False,NNP
dan,False,CC
Buffett,False,NNP
mengatakan,False,VB
mereka,False,PRP
berada,False,VB
di,False,IN
Cina,False,NNP
untuk,False,SC
mempelajari,False,VB
kegiatan,False,NN
amal,False,NN
di,False,IN
negara,False,NN
itu,False,PR
.,False,Z
,True,
Banyak,False,CD
orang,False,NN
menduga,False,VB
mereka,False,PRP
ingin,False,RB
membujuk,False,VB
para,False,DT
tamu,False,NN
agar,False,SC
lebih,False,RB
banyak,False,CD
menyumbang,False,VB
untuk,False,IN
amal,False,NN
.,False,Z
,True,
Kedua,False,CD
orang,False,NN
terkaya,False,JJ
dunia,False,NN
itu,False,PR
sudah,False,MD
berhasil,False,VB
membujuk,False,VB
banyak,False,CD
orang,False,NN
yang,False,SC
sangat,False,RB
kaya,False,JJ
di,False,IN
Amerika,False,NNP
agar,False,SC
menyumbangkan,False,VB
separuh,False,CD
kekayaan,False,NN
mereka,False,PRP
.,False,Z
,True,
Ada,False,VB
kerahasiaan,False,NN
mengenai,False,IN
acara,False,NN
itu,False,PR
",",False,Z
pihak,False,NN
penyelenggara,False,NN
tidak,False,NEG
membeberkan,False,VB
nama-nama,True,NN
tamu,False,NN
.,False,Z
,True,
Salah satu,True,CD
orang,False,NN
yang,False,SC
akan,False,MD
menghadiri,False,VB
jamuan,False,NN
makan malam,True,NN
itu,False,PR
adalah,False,VB
Chen,False,NNP
Guangbiao,True,NNP
",",False,Z
seorang,False,NND
miliarder,False,NN
yang,False,SC
meraup,False,VB
kekayaan,False,NN
dari,False,IN
bisnis,False,NN
mendaur ulang,True,VB
sampah,False,NN
dari,False,IN
industri,False,NN
bangunan,False,NN
.,False,Z
,True,
Dia,False,PRP
mengatakan,False,VB
kepada,False,IN
BBC,False,NNP
bahwa,False,SC
dia,False,PRP
sudah,False,MD
berencana,False,VB
menyumbangkan,False,VB
seluruh,False,CD
harta,False,NN
-nya,True,PRP
untuk,False,IN
amal,False,NN
bila,False,SC
dia,False,PRP
meninggal,False,VB
.,False,Z
,True,
"""",False,Z
Beramal,False,VB
dan,False,CC
membantu,False,VB
sudah,False,MD
menjadi,False,VB
bagian,False,NN
dari,False,IN
budaya,False,NN
Cina,False,NNP
selama,False,IN
5.000,False,CD
tahun,False,NN
.,False,Z
,True,
Tetapi,False,CC
kegiatan,False,NN
amal,False,NN
resmi,False,JJ
baru,False,MD
dikembangkan,False,VB
di,False,IN
Cina,False,NNP
dalam,False,IN
30,False,CD
tahun,False,NN
terakhir,False,JJ
",",False,Z
sejak,False,SC
kami,False,PRP
menerapkan,False,VB
reformasi ekonomi,True,NN
.,False,Z
"""",False,Z
,True,
"""",False,Z
Banyak,False,CD
orang,False,NN
baru,False,MD
mulai,False,MD
menjadi,False,VB
kaya,False,JJ
dan,False,CC
kami,False,PRP
baru-baru ini,True,RB
saja,False,RB
bisa,False,MD
memberi,False,VB
makan,False,NN
diri,False,NN
sendiri,False,NN
",",False,Z
"""",False,Z
kata,False,VB
-nya,True,PRP
.,False,Z
,True,
Menyumbangkan,False,VB
uang,False,NN
untuk,False,IN
amal,False,NN
belum,False,NEG
begitu,False,RB
berkembang,False,VB
di,False,IN
Cina,False,NNP
sebaik,False,JJ
di,False,IN
banyak,False,CD
negara,False,NN
lain,False,JJ
.,False,Z
,True,
Kalau,False,SC
jamuan,False,NN
makan malam,True,NN
ini,False,PR
bisa,False,MD
dikatakan,False,VB
berhasil,False,VB
",",False,Z
keberhasilan,False,NN
itu,False,PR
adalah,False,VB
mendorong,False,VB
perdebatan,False,NN
mengenai,False,IN
apa,False,SC
arti,False,NN
beramal,False,VB
bagi,False,IN
yang,False,SC
membutuhkan,False,VB
.,False,Z
,True,
Kisah,False,NN
pendiri,False,NN
Facebook,False,NNP
dibuat,False,VB
komik,False,NN
,True,
Kisah,False,NN
pendiri,False,NN
Facebook,False,NNP
Mark,False,NNP
Zuckerberg,False,NNP
akan,False,MD
diceritakan,False,VB
dalam,False,IN
sebuah,False,NND
komik,False,NN
biografi,False,NN
.,False,Z
,True,
Komik,False,NN
dengan,False,IN
judul,False,NN
Mark,False,NNP
Zuckerberg,False,NNP
:,False,Z
Pencipta,False,NN
Facebook,False,NNP
",",False,Z
akan,False,MD
tersedia,False,VB
di,False,IN
pasar,False,NN
sebelum,False,SC
Desember,False,NNP
2010,False,CD
",",False,Z
demikian,False,PR
pernyataan,False,NN
penerbit,False,NNP
Bluewater,True,NNP
Productions,False,NNP
.,False,Z
,True,
Penulis,False,NNP
Jerome,False,NNP
Maida,False,NNP
menyebut,False,VB
kisah,False,NN
Zuckerberg,False,NNP
"""",False,Z
mengagumkan,False,VB
"""",False,Z
dan,False,CC
"""",False,Z
luar biasa,True,JJ
"""",False,Z
.,False,Z
,True,
Sebuah,False,NND
film,False,NN
mengenai,False,IN
Facebook,False,NNP
dengan,False,IN
judul,False,NN
The,False,NNP
Social,False,NNP
Network,False,NNP
",",False,Z
juga,False,RB
akan,False,MD
dirilis,False,VB
pada,False,IN
tanggal,False,NN
15,False,CD
Oktober,False,NNP
nanti,False,NN
.,False,Z
,True,
Film,False,NN
yang,False,SC
ditulis,False,VB
oleh,False,IN
pencipta,False,NN
serial,False,NN
West,False,NNP
Wing,False,NNP
Aaron,False,NNP
Sorkin,True,NNP
dan,False,CC
disutradarai,False,VB
oleh,False,IN
David,False,NNP
Fincher,True,NNP
yang,False,SC
pernah,False,MD
menggarap,False,VB
film,False,NN
Fight,False,NNP
',False,NNP
s,False,NNP
Club,False,NNP
ini,False,PR
sebenarnya,False,RB
belum,False,NEG
memperoleh,False,VB
izin,False,NN
Mark,False,NNP
Zuckerberg,False,NNP
.,False,Z
,True,
Pemuda,False,NN
berusia,False,VB
26,False,CD
tahun,False,NN
ini,False,PR
mengatakan,False,VB
"""",False,Z
Saya,False,PRP
mengharapkan,False,VB
tidak,False,NEG
ada,False,VB
orang,False,NN
yang,False,SC
membuat,False,VB
film,False,NN
tentang,False,IN
saya,False,PRP
ketika,False,SC
saya,False,PRP
masih,False,MD
hidup,False,VB
",",False,Z
"""",False,Z
kata,False,VB
-nya,True,PRP
dalam,False,IN
sebuah,False,NND
konferensi,False,NN
teknologi,False,NN
Juni,False,NNP
silam,False,NN
.,False,Z
,True,
Hingga,False,IN
Juli,False,NNP
2010,False,CD
lebih,False,RB
dari,False,IN
500,False,CD
juta,False,CD
yang,False,SC
terdaftar,False,VB
dalam,False,IN
situs,False,NN
jejaring,False,NN
sosial,False,JJ
tersebut,False,PR
.,False,Z
,True,
Hanya,False,RB
butuh,False,VB
enam,False,CD
tahun,False,NN
bagi,False,IN
Zuckerberg,False,NNP
untuk,False,SC
bisa,False,MD
mencapai,False,VB
kesuksesan,False,NN
seperti,False,SC
sekarang,False,NN
ini,False,PR
",",False,Z
setelah,False,SC
sebelum,False,SC
-nya,True,PRP
dia,False,PRP
meluncurkan,False,VB
situs,False,NN
ini,False,PR
saat,False,SC
masih,False,MD
duduk,False,VB
sebagai,False,IN
mahasiswa,False,NN
di,False,IN
Universitas,False,NNP
Harvard,False,NNP
.,False,Z
,True,
September,False,NNP
silam,False,NN
",",False,Z
majalah,False,NNP
Forbes,False,NNP
memasukkan,False,VB
dia,False,PRP
dalam,False,IN
daftar,False,NN
35,False,CD
orang,False,NN
terkaya,False,JJ
di,False,IN
Amerika,False,NNP
Serikat,False,NNP
dengan,False,SC
total,False,NN
kekayaan,False,NN
diperkirakan,False,VB
mencapai,False,VB
US,False,NNP
$,False,SYM
"6,4",False,CD
miliar,False,CD
.,False,Z
,True,
Tetapi,False,CC
langkah,False,NN
dia,False,PRP
menuju,False,VB
kesuksesan,False,NN
tidak,False,NEG
lah,False,RP
mulus,False,JJ
.,False,Z
,True,
Dua,False,CD
orang,False,NND
rekan,False,NN
Zuckerberg,False,NNP
di,False,IN
Harvard,False,NNP
mengklaim,False,VB
ide,False,NN
pembuatan,False,NN
Facebook,False,NNP
datang,False,VB
dari,False,IN
mereka,False,PRP
.,False,Z
,True,
Mereka,False,PRP
terlibat,False,VB
dalam,False,IN
sengketa,False,NN
hukum,False,NN
yang,False,SC
berlarut-larut,True,VB
pada,False,IN
tahun,False,NN
2008,False,CD
dan,False,CC
diakhiri,False,VB
dengan,False,IN
pembayaran,False,NN
yang,False,SC
dirahasiakan,False,VB
jumlah,False,NN
-nya,True,PRP
kepada,False,IN
Cameron,False,NNP
dan,False,CC
Tyler,False,NNP
Winklevoss,False,NNP
",",False,Z
yang,False,SC
kini,False,NN
juga,False,RB
membuat,False,VB
situs,False,NN
jejaring,False,NN
sosial,False,JJ
bernama,False,VB
ConnectU,False,NNP
.,False,Z
,True,
Perebutan,False,NN
jamrud,False,NNP
Bahia,False,NNP
raksasa,False,JJ
,True,
Jaksa,False,NN
Kalifornia,False,NNP
akan,False,MD
mulai,False,MD
menanyai,False,VB
sejumlah,False,CD
pihak,False,NN
untuk,False,SC
menentukan,False,VB
mengenai,False,SC
kepemilikan,False,NN
dari,False,IN
jamrud,False,NN
raksasa,False,JJ
",",False,Z
yang,False,SC
disebut,False,VB
sebagai,False,IN
terbesar,False,JJ
.,False,Z
,True,
Jamrud,False,NNP
Bahia,False,NNP
dinamakan,False,VB
sesuai,False,JJ
lokasi,False,NN
penemuan,False,NN
-nya,True,PRP
di,False,IN
salah satu,True,CD
daerah,False,NN
di,False,IN
Brasil,False,NNP
memiliki,False,VB
berat,False,NN
380,False,CD
kg,False,NND
.,False,Z
,True,
Diperkirakan,False,VB
jamrud,False,NN
raksasa,False,JJ
itu,False,PR
bernilai,False,VB
lebih,False,RB
dari,False,IN
US,False,NNP
$,False,SYM
370,False,CD
juta,False,CD
dan,False,CC
setidaknya,False,RB
enam,False,CD
orang,False,NN
mengklaim,False,VB
kepemilikan,False,NN
hak,False,NN
atas,False,IN
batu,False,NN
tersebut,False,PR
.,False,Z
,True,
Jaksa,False,NN
akan,False,MD
mendengarkan,False,VB
semua,False,CD
pihak,False,NN
yang,False,SC
mengklaim,False,VB
permata,False,NN
itu,False,PR
",",False,Z
sebelum,False,SC
memutuskan,False,VB
kasus,False,NN
-nya,True,PRP
pada,False,IN
Oktober,False,NNP
nanti,False,NN
.,False,Z
,True,
Salah satu,True,CD
dari,False,IN
pihak,False,NN
yang,False,SC
berselisih,False,VB
",",False,Z
adalah,False,VB
Anthony,False,NNP
Thomas,False,NNP
ahli,False,NN
konstruksi,False,NN
dari,False,IN
Kalifornia,False,NNP
yang,False,SC
mengatakan,False,VB
dia,False,PRP
telah,False,MD
membayar,False,VB
kepada,False,IN
dua,False,CD
orang,False,NND
agen,False,NN
permata,False,NN
Brasil,False,NNP
senilai,False,NN
US,False,NNP
$,False,SYM
60.000,False,CD
untuk,False,IN
jamrud,False,NN
tersebut,False,PR
tak,False,NEG
lama,False,JJ
setelah,False,SC
ditemukan,False,VB
sembilan,False,CD
tahun,False,NN
lalu,False,NN
.,False,Z
,True,
Thomas,False,NNP
mengatakan,False,VB
telah,False,MD
mengatur,False,VB
agar,False,SC
batu,False,NN
itu,False,PR
dikirim,False,VB
melalui,False,IN
kapal,False,NN
ke,False,IN
kediaman,False,NN
-nya,True,PRP
di,False,IN
San,False,NNP
Jose,False,NNP
",",False,Z
tetapi,False,CC
tak,False,NEG
pernah,False,MD
muncul,False,VB
.,False,Z
,True,
Dia,False,PRP
percaya,False,VB
batu,False,NN
itu,False,PR
telah,False,MD
dicuri,False,VB
untuk,False,SC
dijual,False,VB
kembali,False,RB
dengan,False,IN
harga,False,NN
yang,False,SC
lebih,False,RB
mahal,False,JJ
.,False,Z
,True,
Thomas,False,NNP
hanya,False,RB
salah satu,True,CD
dari,False,IN
enam,False,CD
pihak,False,NN
yang,False,SC
mengklaim,False,VB
sebagai,False,IN
pemilik,False,NN
jamrud,False,NN
raksasa,False,JJ
itu,False,PR
.,False,Z
,True,
Satu,False,CD
masalah,False,NN
yang,False,SC
dihadapi,False,VB
adalah,False,VB
dia,False,PRP
kehilangan,False,VB
tanda terima,True,NN
akibat,False,IN
kebakaran,False,NN
yang,False,SC
melanda,False,VB
rumah,False,NN
-nya,True,PRP
.,False,Z
,True,
Jamrud,False,NN
itu,False,PR
akhirnya,False,RB
sampai,False,VB
ke,False,IN
Amerika,False,NNP
",",False,Z
meskipun,False,SC
setibanya,False,SC
di,False,IN
Amerika,False,NNP
tidak,False,NEG
jelas,False,JJ
siapa,False,SC
pemilik,False,NN
-nya,True,PRP
.,False,Z
,True,
Satu,False,CD
hal,False,NN
yang,False,SC
diketahui,False,VB
batu,False,NN
itu,False,PR
sempat,False,MD
disimpan,False,VB
di,False,IN
lemari besi,True,NN
bank,False,NN
di,False,IN
New,False,NNP
Orleans,False,NNP
yang,False,SC
terkena,False,VB
banjir,False,NN
ketika,False,SC
daerah,False,NN
itu,False,PR
diterjang,False,VB
Badai,False,NNP
Katrina,False,NNP
",",False,Z
sehingga,False,SC
batu,False,NN
berharga,False,JJ
terendam,False,VB
di,False,IN
dalam,False,NN
air,False,NN
untuk,False,IN
beberapa,False,CD
bulan,False,NN
.,False,Z
,True,
Jamrud,False,NNP
Bahia,False,NNP
kemudian,False,RB
dibawa,False,VB
ke,False,IN
Las,False,NNP
Vegas,False,NNP
untuk,False,SC
dilihat,False,VB
oleh,False,IN
calon,False,NN
pembeli,False,NN
namun,False,CC
disita,False,VB
oleh,False,IN
polisi,False,NN
Los,False,NNP
Angeles,False,NNP
.,False,Z
,True,
Badut,False,NN
politikus,False,NN
ditantang,False,VB
baca,False,VB
tulis,False,VB
,True,
Seorang,False,NND
badut,False,NN
di,False,IN
Brasil,False,NNP
yang,False,SC
mempunyai,False,VB
peluang,False,NN
besar,False,JJ
meraih,False,VB
kursi,False,NN
di,False,IN
parlemen,False,NN
dalam,False,IN
pemilihan,False,NN
Minggu,False,NNP
(,False,Z
3,False,CD
/,False,Z
10,False,CD
),False,Z
-,False,Z
ditantang,False,VB
untuk,False,SC
membuktikan,False,VB
bahwa,False,SC
dia,False,PRP
bisa,False,MD
membaca,False,VB
dan,False,CC
menulis,False,VB
.,False,Z
,True,
Jajak,False,NN
pendapat,False,NN
memperlihatkan,False,VB
badut,False,NN
itu,False,PR
",",False,Z
Tiririca,True,NNP
",",False,Z
akan,False,MD
meraih,False,VB
lebih,False,RB
dari,False,IN
satu,False,CD
juta,False,CD
suara,False,NN
.,False,Z
,True,
Namun,False,CC
hakim,False,NN
di,False,IN
Sao,False,NNP
Paulo,False,NNP
menuntut,False,VB
dia,False,PRP
untuk,False,SC
memperlihatkan,False,VB
bisa,False,MD
memenuhi,False,VB
persyaratan,False,NN
baca,False,VB
tulis,False,VB
.,False,Z
,True,
Sejumlah,False,CD
surat kabar,True,NN
Brasil,False,NNP
melaporkan,False,VB
Tiririca,True,NNP
-,False,Z
sama,False,JJ
seperti,False,IN
satu,False,CD
dari,False,IN
sepuluh,False,CD
warga,False,NN
Brasil,False,NNP
buta aksara,True,JJ
.,False,Z
,True,
Tiririca,True,NNP
-,False,Z
yang,False,SC
dalam,False,IN
bahasa sehari-hari,True,NN
Portugis,False,NNP
arti,False,NN
-nya,True,PRP
tukang,False,NN
mengeluh,False,VB
menjadi,False,VB
sensasi,False,NN
besar,False,JJ
selama,False,IN
kampanye,False,NN
pemilihan,False,NN
.,False,Z
,True,
Video,False,NN
kampanye,False,NN
-nya,True,PRP
yang,False,SC
kocak,False,JJ
berhasil,False,VB
meraih,False,VB
jutaan,False,CD
penonton,False,NN
di,False,IN
YouTube,False,NNP
.,False,Z
,True,
Dia,False,PRP
antara,False,IN
lain,False,JJ
menggunakan,False,VB
slogan,False,NN
"""",False,Z
Tidak,False,NEG
bisa,False,MD
lebih,False,RB
buruk,False,JJ
lagi,False,RB
"""",False,Z
dan,False,CC
"""",False,Z
Apa,False,WH
yang,False,SC
dilakukan,False,VB
wakil,False,NN
anda,False,PRP
?,False,Z
Sungguh,False,RB
saya,False,PRP
tidak,False,NEG
tahu,False,VB
.,False,Z
Tapi,False,CC
pilih,False,VB
lah,False,RP
saya,False,PRP
dan,False,CC
saya,False,PRP
akan,False,MD
mencari tahu,True,VB
untuk,False,IN
anda,False,PRP
.,False,Z
"""",False,Z
,True,
Hakim,False,NN
memutuskan,False,VB
untuk,False,SC
menggelar,False,VB
ujian,False,NN
aksara,False,NN
setelah,False,SC
majalah,False,NNP
Epoca,True,NNP
menayangkan,False,VB
video,False,NN
di,False,IN
situs,False,NN
-nya,True,PRP
yang,False,SC
memperlihatkan,False,VB
Tiririca,True,NNP
tampak,False,VB
kesulitan,False,VB
membaca,False,VB
.,False,Z
,True,
Komisi,False,NN
pemilihan,False,NN
mengatakan,False,VB
sudah,False,MD
terlambat,False,VB
untuk,False,SC
menghentikan,False,VB
pencalonan,False,NN
-nya,True,PRP
namun,False,CC
dia,False,PRP
bisa,False,MD
diberhentikan,False,VB
setelah,False,SC
pemilihan,False,NN
nanti,False,NN
jika,False,SC
gagal,False,VB
memperlihatkan,False,VB
kemampuan,False,NN
membaca,False,VB
.,False,Z
,True,
Calon,False,NN
selebriti,False,NN
,True,
Tiririca,True,NNP
",",False,Z
yang,False,SC
nama,False,NN
asli,False,JJ
-nya,True,PRP
Francisco,False,NNP
Everardo,True,NNP
Oliveira,False,NNP
Silva,False,NNP
-,False,Z
mulai,False,MD
bekerja,False,VB
di,False,IN
sirkus,False,NN
sejak,False,SC
berusia,False,VB
delapan,False,CD
tahun,False,NN
di,False,IN
negara bagian,True,NN
miskin,False,JJ
",",False,Z
Ceara,True,NNP
.,False,Z
,True,
Dengan,False,IN
pengalaman,False,NN
-nya,True,PRP
",",False,Z
dia,False,PRP
kini,False,NN
menjadi,False,VB
salah seorang,True,CD
pelawak,False,NN
yang,False,SC
terkenal,False,VB
di,False,IN
TV,False,NN
.,False,Z
,True,
Dia,False,PRP
merupakan,False,VB
salah seorang,True,CD
dari,False,IN
puluhan,False,CD
calon,False,NN
yang,False,SC
berasal,False,VB
dari,False,IN
dunia,False,NN
olahraga,False,NN
maupun,False,CC
pertunjukan,False,NN
",",False,Z
yang,False,SC
berjuang,False,VB
untuk,False,SC
merebut,False,VB
kursi,False,NN
di,False,IN
majelis rendah,True,NN
parlemen,False,NN
dengan,False,SC
bersaing,False,VB
melawan,False,VB
politikus,False,NN
berpengalaman,False,VB
.,False,Z
,True,
Seluruhnya,False,RB
tercatat,False,VB
6.000,False,CD
calon,False,NN
dari,False,IN
27,False,CD
partai,False,NN
untuk,False,SC
meraih,False,VB
513,False,CD
kursi,False,NN
di,False,IN
parlemen,False,NN
.,False,Z
,True,
Calon,False,NN
lain,False,JJ
yang,False,SC
diduga,False,VB
akan,False,MD
meraih,False,VB
kursi,False,NN
di,False,IN
parlemen,False,NN
dengan,False,IN
kemenangan,False,NN
mutlak,False,JJ
adalah,False,VB
Romario,True,NNP
",",False,Z
yang,False,SC
merupakan,False,VB
salah seorang,True,CD
bintang,False,NN
sepak bola,True,NN
Brasil,False,NNP
saat,False,SC
meraih,False,VB
Piala,False,NNP
Dunia,False,NNP
1994,False,CD
.,False,Z
,True,
Para,False,DT
pengamat,False,NN
mengatakan,False,VB
popularitas,False,NN
para,False,DT
selebriti,False,NN
mencerminkan,False,VB
kebingungan,False,NN
dengan,False,IN
politik,False,NN
utama,False,JJ
karena,False,IN
marak,False,JJ
-nya,True,PRP
sejumlah,False,CD
skandal,False,NN
korupsi,False,NN
.,False,Z
,True,
Ibu,False,NN
",",False,Z
bayi,False,NN
dan,False,CC
parlemen,False,NN
,True,
Seorang,False,NND
anggota,False,NN
Parlemen,False,NNP
Eropa,False,NNP
asal,False,IN
Italia,False,NNP
menghadiri,False,VB
sidang,False,NN
parlemen,False,NN
di,False,IN
Strasbourg,False,NNP
dengan,False,SC
menggendong,False,VB
anak,False,NN
bayi,False,NN
-nya,True,PRP
.,False,Z
,True,
Licia,True,NNP
Ronzulli,True,NNP
mengatakan,False,VB
ia,False,PRP
ingin,False,RB
menunjukkan,False,VB
berat,False,JJ
-nya,True,PRP
beban,False,NN
yang,False,SC
ditanggung,False,VB
kaum,False,NN
perempuan,False,NN
untuk,False,SC
menjalani,False,VB
karir,False,NN
sekaligus,False,RB
mengasuh,False,VB
anak,False,NN
.,False,Z
,True,
Para,False,DT
anggota,False,NN
parlemen,False,NN
sedang,False,MD
membahas,False,VB
usul,False,NN
untuk,False,SC
memperbaiki,False,VB
hak,False,NN
maupun,False,CC
kesempatan,False,NN
bagi,False,IN
perempuan,False,NN
untuk,False,SC
bekerja,False,VB
.,False,Z
,True,
Vittoria,False,NNP
yang,False,SC
baru,False,MD
berusia,False,VB
satu,False,CD
bulan,False,NN
tampak,False,VB
tidur,False,VB
nyenyak,False,JJ
selama,False,SC
sidang,False,NN
berlangsung,False,VB
.,False,Z
,True,
Ronzulli,True,NNP
yang,False,SC
mewakili,False,VB
Partai,False,NNP
Kebebasan,False,NNP
Rakyat,False,NNP
pimpinan,False,NN
PM,False,NNP
Italia,False,NNP
Silvio,False,NNP
Berlusconi,False,NNP
mendapat,False,VB
sambutan,False,NN
meriah,False,JJ
ketika,False,SC
berdiri,False,VB
untuk,False,SC
menyampaikan,False,VB
pidato,False,NN
-nya,True,PRP
.,False,Z
,True,
Ia,False,PRP
mengatakan,False,VB
kepada,False,IN
rekan,False,NN
-nya,True,PRP
sesama,False,NN
anggota,False,NN
parlemen,False,NN
:,False,Z
"""",False,Z
Saya,False,PRP
ingin,False,RB
melihat,False,VB
komitmen,False,NN
yang,False,SC
lebih,False,RB
besar,False,JJ
untuk,False,IN
persoalan-persoalan,True,NN
ini,False,PR
dari,False,IN
lembaga-lembaga,True,NN
Eropa,False,NNP
",",False,Z
dimulai,False,VB
dari,False,IN
dalam,False,NN
Parlemen,False,NNP
Eropa,False,NNP
sendiri,False,NN
.,False,Z
"""",False,Z
,True,
Naskah,False,NN
asli,False,JJ
Harry,False,NNP
Potter,False,NNP
dipamerkan,False,VB
,True,
Naskah,False,NN
asli,False,JJ
dari,False,IN
kisah,False,NN
Harry,False,NNP
Potter,False,NNP
yang,False,SC
ditulis,False,VB
tangan,False,NN
oleh,False,IN
pengarang,False,NN
-nya,True,PRP
",",False,Z
JK,False,NNP
Rowling,False,NNP
",",False,Z
dipamerkan,False,VB
sebagai,False,IN
bagian,False,NN
dari,False,IN
festival,False,NN
buku,False,NN
di,False,IN
Skotlandia,False,NNP
selatan,False,NNP
